Id,Titol,Any,Duracio (min),Pais,Direcció,Guió,Música,Fotografia,Productora,Repartiment,Gènere,Nota,Num. vots,Web
431790,Sobreviviré,1999,109,España,"['Alfonso Albacete', 'David Menkes']","['Alfonso Albacete', 'David Menkes', 'Lucía Etxebarría']",['Paco Ortega'],['Gonzalo F. Berridi'],['Películas Frenéticas / El Paso P.C. / Aurum Producciones / Antena 3 Televisión / Vía Digital'],"['Emma Suárez', 'Juan Diego Botto', 'Mirta Ibarra', 'Rosana Pastor', 'Manuel Manquiña', 'Maite Blasco', 'Àlex Brendemühl', 'Javier Martín', 'Adriá Collado', 'Elena Irureta', 'Alberto San Juan', 'José Manuel Cervino', 'Duna Jové', 'Fernando Tejero', 'Dani Martín', 'Paz Vega', 'María Esteve']",[['Drama']],"5,9",6.036,https://www.filmaffinity.com/es/film431790.html
721745,Nada es para siempre (TV Series),1999,40,España,"['Gerardo Gormezano', 'Toño López', 'Luis Manzo', 'Emilio McGregor']","['Carlos Ares', 'Xosé Castro', 'Andrés Mahía', 'Xosé Morais', 'Laura Visconti']","['Teo Cardalda', 'Juan Mari Montes (Canción: Cómplices)']",['NA'],['Emitida por Antena 3 Televisión; VideoVoz / Skyquest'],"['Patricia Adriani', 'Daniel Diges', 'José María Arechabala', 'Ana Asensio', 'Carola Baleztena', 'Isabel Blanco', 'Miriam Blanco', 'Vanesa Cabeza', 'Paco Campos', 'Aurora Carbonell', 'Mela Casal', 'Carlos Castel', 'Sonia Castelo', 'José Conde', 'Vanessa De Frutos', 'Elena Fernández', 'Patricia Figón', 'Elena de Frutos', 'Abelardo Gabriel', 'Rubén Gálvez', 'Elisa Garzón', 'Concha Leza', 'Manuel Lozano', 'Carlos Marcet', 'Inma Molina', 'Blas Moya', 'Javier Pereira', 'Jesús Ruyman', 'Tomás Sáez', 'Pastora Vega', 'Penélope Velasco', 'Mercedes Sampietro', 'Chisco Amado', 'Rosa Campillo', 'Mariana Carballal', 'Queta Claver', 'Maribel del Prado', 'Marco de Paula', 'Tony Isbert', 'Charo Molina', 'Carlos Montoro', 'Ana Sáez', 'Mónica Salazar', 'María Luisa San José', 'Ana Turpin', 'Nicolás Rodríguez', 'Monti Castiñeiras', 'Daniel Díez', 'Cristina Espinosa', 'Carlos Martínez', 'Vanessa Sáiz', 'Ivan Palomares', 'Ivan G. Anderson']","[['Serie de TV'], ['Drama']]","2,6",5.631,https://www.filmaffinity.com/es/film721745.html
180575,Plats bruts (TV Series),1999,25,España,"['Joel Joan (Creator)', 'Jordi Sánchez (Creator)', 'Oriol Grau', 'Lluís Manyoses', 'Joel Joan']","['Xesc Barceló', 'Albert Plans', 'Núria Furió', 'Mercè Sàrrias', 'Sergi Pompermayer', 'Joel Joan', 'Jordi Sánchez', 'Xavier Bertrán']",['Quimi Portet'],['NA'],['Emitida por Televisión de Galicia (TVG); El Terrat'],"['Joel Joan', 'Jordi Sánchez', 'Mònica Glaenzel', 'Lluís Villanueva', 'Montse Pérez', 'Pau Durà', 'Ana María Barbany', 'Mercè Comes', 'Jordi Banacolocha', 'Carles Canut', 'Borja Espinosa', 'Mercè Martínez', 'Vicky Peña']","[['Serie de TV'], ['Comedia']]","7,5",5.603,https://www.filmaffinity.com/es/film180575.html
448111,Entre las piernas,1999,115,España,['Manuel Gómez Pereira'],"['Joaquín Oristrell', 'Yolanda García Serrano', 'Juan Luis Iborra', 'Manuel Gómez Pereira']",['Bernardo Bonezzi'],['Juan Amorós'],['Coproducción España-Francia; BocaBoca Producciones / Aurum Producciones'],"['Victoria Abril', 'Javier Bardem', 'Carmelo Gómez', 'Juan Diego', 'Angels Bassas', 'Sergi López', 'Víctor Rueda', 'Blanca Apilánez', 'Javier Albalá', 'Cristina Brondo', 'Antonio de la Torre', 'Blanca Portillo']",[['Thriller']],"4,7",4.970,https://www.filmaffinity.com/es/film448111.html
986963,Flores de otro mundo,1999,100,España,['Icíar Bollaín'],"['Icíar Bollaín', 'Julio Llamazares']",['Pascal Gaigne'],['Teo Delgado'],['Alta Films / Alta Films'],"['José Sancho', 'Lissete Mejía', 'Luis Tosar', 'Marilyn Torres', 'Chete Lera', 'Elena Irureta', 'Amparo Valle', 'Rubén Ochandiano', 'Chiqui Fernández', 'Antonio de la Torre']","[['Drama'], ['Romance']]","6,6",3.996,https://www.filmaffinity.com/es/film986963.html
210120,Pídele cuentas al rey,1999,100,España,['José Antonio Quirós'],"['José Antonio Quirós', 'Alicia Luna', 'Clara Pérez Escrivá', 'Pedro Costa']",['Juan Carlos Cuello'],['Julio Madurga'],['Enrique Cerezo P.C.. Productor: Pedro Costa'],"['Antonio Resines', 'Adriana Ozores', 'Nicolás Fernández Luna', 'Emma Penella', 'Jesús Bonilla', 'Manuel Alexandre', 'Manuel Manquiña', 'Alfonso Vallejo', 'Pepo Oliva', 'Antonio Gamero', 'Santiago Segura']","[['Comedia'], ['Drama']]","5,6",3.705,https://www.filmaffinity.com/es/film210120.html
869592,La mujer más fea del mundo,1999,108,España,['Miguel Bardem'],['Nacho Faerna'],['Juan Bardem'],['Néstor Calvo'],['Aurum Producciones'],"['Elia Galera', 'Roberto Álvarez', 'Héctor Alterio', 'Javivi', 'Guillermo Toledo', 'Enrique Villén', 'David Pinilla', 'Pablo Pinedo', 'Alberto San Juan', 'Anabel Alonso', 'Javier Gurruchaga', 'Agustín González', 'Luis Ciges', 'Saturnino García', 'Manuel Manquiña', 'Manuel Morón', 'Pepa Pedroche', 'Inma del Moral', 'Alicia Agut', 'Lourdes Bartolomé', 'Penélope Velasco', 'María Isbert', 'Santiago Segura']","[['Comedia'], ['Thriller'], ['Ciencia ficción']]","3,7",3.501,https://www.filmaffinity.com/es/film869592.html
572401,París-Tombuctú,1999,107,España,['Luis García Berlanga'],"['Luis García Berlanga', 'Jorge Berlanga', 'Antonio Gómez Rufo', 'Javier G. Amezua']","['Bernardo Fúster', 'Luis Mendo']",['Hans Burmann'],['Anola Films / Calabuch Films / Freedonia'],"['Michel Piccoli', 'Concha Velasco', 'Juan Diego', 'Amparo Soler Leal', 'Santiago Segura', 'Javier Gurruchaga', 'José Sancho', 'Eusebio Lázaro']",[['Comedia']],"4,9",3.491,https://www.filmaffinity.com/es/film572401.html
850527,Celos,1999,106,España,['Vicente Aranda'],"['Álvaro del Amo', 'Vicente Aranda']",['José Nieto'],['José Luis Alcaine'],['Sogetel'],"['Aitana Sánchez-Gijón', 'Daniel Giménez Cacho', 'María Botto', 'Luis Tosar', 'Alicia Sánchez', 'Pepo Oliva', 'Marta Belenguer']",[['Drama']],"5,3",3.081,https://www.filmaffinity.com/es/film850527.html
968444,Yoyes,1999,99,España,['Helena Taberna'],"['Helena Taberna', 'Andrés Martorell']",['Ángel Illarramendi'],['Federico Ribes'],"['C.I.P.I. Cinematográfica, S.L / MACT Productions / Marvel Movies']","['Ana Torrent', 'Ernesto Alterio', 'Florence Pernel', 'Ramón Langa', 'Iñaki Aierra', 'Ruth Núñez', 'Kike Díaz de Rada', 'Juan Jesús Valverde', 'Manuel Morón', 'Laura Ballesta', 'Martxelo Rubio', 'Mikel Albisu', 'Arantxa Iglesias', 'Isabel Ordaz']",[['Drama']],"6,1",2.929,https://www.filmaffinity.com/es/film968444.html
